,year,artist.inverted,track,time,date.entered,date.peaked,week,rank,gap_week,total_time_s,date.entered.year,date.entered.month,date.entered.day,date.entered.quarter,date.peaked.year,date.peaked.month,date.peaked.day,date.peaked.quarter,genre_Electronica,genre_Gospel,genre_Jazz,genre_Latin,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Rock
4439,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,15,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
4756,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,16,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5073,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,17,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5390,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,18,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5707,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,19,8,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6024,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,20,15,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6341,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,21,19,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6658,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,22,21,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6975,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,23,26,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7292,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,24,36,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7609,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,25,48,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7926,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,26,47,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,1,71,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
319,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,2,48,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
636,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,3,43,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
953,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,4,31,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1270,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,5,20,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1587,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,6,13,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1904,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,7,7,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2221,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,8,6,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2538,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,9,4,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2855,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,10,4,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3172,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,11,4,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3489,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,12,6,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3806,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,13,4,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4123,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,14,2,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4440,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,15,1,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4757,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,16,1,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5074,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,17,1,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5391,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,18,2,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5708,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,19,1,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6025,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,20,2,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6342,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,21,4,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6659,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,22,8,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6976,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,23,8,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7293,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,24,12,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7610,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,25,14,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7927,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,26,17,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8244,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,27,21,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8561,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,28,24,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8878,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,29,30,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9195,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,30,34,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9512,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,31,37,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9829,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,32,46,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
10146,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,2000-01-29,33,47,False,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,1,41,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
320,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,2,23,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
637,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,3,18,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
954,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,4,14,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1271,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,5,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1588,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,6,1,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1905,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,7,1,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2222,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,8,1,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2539,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,9,1,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2856,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,10,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3173,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,11,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3490,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,12,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3807,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,13,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4124,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,14,2,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4441,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,15,4,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4758,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,16,8,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5075,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,17,11,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5392,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,18,16,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5709,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,19,20,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6026,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,20,25,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6343,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,21,27,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6660,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,22,27,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6977,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,23,29,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
7294,2000,Madonna,Music,3:45,2000-08-12,2000-09-16,24,44,False,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,1,57,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
321,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,2,47,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
638,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,3,45,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
955,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,4,29,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1272,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,5,23,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1589,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,6,18,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1906,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,7,11,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2223,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,8,9,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2540,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,9,9,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2857,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,10,11,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3174,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,11,1,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3491,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,12,1,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3808,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,13,1,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4125,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,14,1,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4442,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,15,4,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4759,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,16,8,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5076,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,17,12,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5393,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,18,22,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5710,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,19,23,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
6027,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,20,43,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
6344,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,2000-08-05,2000-10-14,21,44,False,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,1,59,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
322,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,2,52,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
639,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,3,43,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
956,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,4,30,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1273,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,5,29,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1590,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,6,22,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1907,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,7,15,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2224,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,8,10,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2541,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,9,10,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2858,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,10,5,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
3175,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,11,1,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
3492,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,12,1,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
3809,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,13,1,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
4126,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,14,2,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
4443,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,15,2,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
4760,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,16,3,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
5077,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,17,3,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
5394,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,18,7,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
5711,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,19,8,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
6028,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,20,20,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
6345,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,21,25,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
6662,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,22,37,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
6979,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,23,40,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
7296,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,2000-08-26,24,41,False,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
6,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,1,83,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
323,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,2,83,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
640,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,3,44,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
957,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,4,38,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
1274,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,5,16,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
1591,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,6,13,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
1908,2000,Destiny's Child,Say My Name,4:31,1999-12-25,2000-03-18,7,16,False,271,1999,12,25,4,2000,3,18,1,0,0,0,0,0,0,0,0,1
