,year,artist.inverted,track,time,genre,date.entered,date.peaked,week,rank,gap_week
3172,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,11,4,False
3489,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,12,6,False
3806,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,13,4,False
4123,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,14,2,False
4440,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,15,1,False
4757,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,16,1,False
5074,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,17,1,False
5391,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,18,2,False
5708,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,19,1,False
6025,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,20,2,False
6342,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,21,4,False
6659,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,22,8,False
6976,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,23,8,False
7293,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,24,12,False
7610,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,25,14,False
7927,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,26,17,False
8244,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,27,21,False
8561,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,28,24,False
8878,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,29,30,False
9195,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,30,34,False
9512,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,31,37,False
9829,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,32,46,False
10146,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,47,False
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,1,41,False
320,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,2,23,False
637,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,3,18,False
954,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,4,14,False
1271,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,5,2,False
1588,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,6,1,False
1905,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,7,1,False
2222,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,8,1,False
2539,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,9,1,False
2856,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,10,2,False
3173,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,11,2,False
3490,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,12,2,False
3807,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,13,2,False
4124,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,14,2,False
4441,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,15,4,False
4758,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,16,8,False
5075,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,17,11,False
5392,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,18,16,False
5709,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,19,20,False
6026,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,20,25,False
6343,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,21,27,False
6660,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,22,27,False
6977,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,23,29,False
7294,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,44,False
4,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,1,57,False
321,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,2,47,False
638,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,3,45,False
955,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,4,29,False
1272,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,5,23,False
1589,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,6,18,False
1906,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,7,11,False
2223,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,8,9,False
2540,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,9,9,False
2857,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,10,11,False
3174,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,11,1,False
3491,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,12,1,False
3808,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,13,1,False
4125,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,14,1,False
4442,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,15,4,False
4759,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,16,8,False
5076,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,17,12,False
5393,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,18,22,False
5710,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,19,23,False
6027,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,20,43,False
6344,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,44,False
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,1,59,False
322,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,2,52,False
639,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,3,43,False
956,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,4,30,False
1273,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,5,29,False
1590,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,6,22,False
1907,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,7,15,False
2224,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,8,10,False
2541,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,9,10,False
2858,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,10,5,False
3175,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,11,1,False
3492,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,12,1,False
3809,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,13,1,False
4126,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,14,2,False
4443,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,15,2,False
4760,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,16,3,False
5077,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,17,3,False
5394,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,18,7,False
5711,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,19,8,False
6028,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,20,20,False
6345,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,21,25,False
6662,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,22,37,False
6979,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,23,40,False
7296,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,41,False
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,1,83,False
323,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,2,83,False
640,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,3,44,False
957,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,4,38,False
1274,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,5,16,False
1591,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,6,13,False
1908,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,7,16,False
2225,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,8,16,False
2542,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,9,16,False
2859,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,10,18,False
3176,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,11,17,False
3493,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,12,14,False
3810,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,13,1,False
4127,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,14,1,False
4444,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,15,1,False
4761,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,16,2,False
5078,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,17,2,False
5395,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,18,3,False
5712,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,19,5,False
6029,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,20,5,False
6346,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,21,5,False
6663,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,22,7,False
6980,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,23,10,False
7297,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,24,13,False
7614,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,25,14,False
7931,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,26,18,False
8248,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,27,23,False
8565,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,28,23,False
8882,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,29,34,False
9199,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,30,37,False
9516,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,31,43,False
9833,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,47,False
7,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,1,63,False
324,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,2,45,False
641,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,3,34,False
958,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,4,23,False
1275,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,5,17,False
1592,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,6,12,False
1909,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,7,9,False
2226,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,8,8,False
2543,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,9,8,False
2860,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,10,6,False
3177,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,11,5,False
3494,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,12,4,False
3811,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,13,1,False
4128,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,14,1,False
4445,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,15,1,False
4762,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,16,3,False
5079,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,17,11,False
5396,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,18,14,False
5713,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,19,24,False
6030,2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01,2000-06-24,20,28,False
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,1,77,False
325,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,2,66,False
642,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,3,61,False
959,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,4,61,False
1276,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,5,61,False
1593,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,6,55,False
1910,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,7,2,False
2227,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,8,1,False
2544,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,9,1,False
2861,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,10,2,False
3178,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,11,2,False
3495,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,12,4,False
3812,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,13,5,False
4129,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,14,5,False
4446,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,15,7,False
4763,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,16,8,False
5080,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,17,10,False
5397,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,18,10,False
5714,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,19,9,False
6031,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,20,14,False
6348,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,21,17,False
6665,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,22,20,False
6982,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,23,25,False
7299,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,24,31,False
7616,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,25,32,False
7933,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,46,False
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,1,81,False
326,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,2,54,False
643,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,3,44,False
960,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,4,39,False
1277,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,5,38,False
1594,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,6,33,False
1911,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,7,29,False
2228,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,8,29,False
2545,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,9,32,False
2862,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,10,27,False
3179,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,11,26,False
3496,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,12,24,False
3813,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,13,27,False
4130,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,14,32,False
4447,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,15,33,False
4764,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,16,35,False
5081,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,17,35,False
5398,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,18,40,False
5715,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,19,43,False
6032,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,20,50,False
9202,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,30,45,False
9519,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,31,45,False
9836,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,32,45,False
10153,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,33,23,False
10470,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,34,17,False
10787,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,35,14,False
11104,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,36,17,False
11421,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,37,18,False
11738,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,38,18,False
12055,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,39,3,False
12372,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,40,1,False
12689,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,41,1,False
13006,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,42,2,False
13323,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,43,3,False
13640,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,44,4,False
13957,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,45,4,False
14274,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,46,5,False
14591,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,47,6,False
14908,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,48,8,False
15225,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,49,9,False
15542,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,50,10,False
15859,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,51,12,False
16176,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,52,15,False
16493,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,53,20,False
16810,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,54,22,False
17127,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,22,False
17444,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,56,25,False
17761,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,57,26,False
18078,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,58,31,False
18395,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,59,32,False
18712,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,60,37,False
19029,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,61,42,False
19346,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,62,42,False
19663,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,63,45,False
19980,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,64,50,False
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,1,82,False
